file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1001.2338199999999,Julia,AntiKt,N2Plain,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1107.8342,Julia,AntiKt,N2Plain,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1347.72476,Julia,AntiKt,N2Plain,3.0
events-ee-Z.hepmc3.gz,43.05,16,17.48,FastJet,CA,N2Tiled,0.4
events-ee-H.hepmc3.gz,64.97,16,28.31,FastJet,CA,N2Tiled,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,35.9,FastJet,CA,N2Tiled,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,53.65,FastJet,CA,N2Tiled,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,66.46,FastJet,CA,N2Tiled,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,88.13,FastJet,CA,N2Tiled,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,88.04,FastJet,CA,N2Tiled,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,112.61,FastJet,CA,N2Tiled,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,156.25,FastJet,CA,N2Tiled,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,200.02,FastJet,CA,N2Tiled,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,260.29,FastJet,CA,N2Tiled,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,292.46,FastJet,CA,N2Tiled,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,346.95,FastJet,CA,N2Tiled,0.4
events-ee-Z.hepmc3.gz,43.05,16,20.65,FastJet,Kt,N2Plain,3.0
events-ee-H.hepmc3.gz,64.97,16,36.3,FastJet,Kt,N2Plain,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,96.32,FastJet,Kt,N2Plain,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,172.2,FastJet,Kt,N2Plain,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,238.89,FastJet,Kt,N2Plain,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,310.29,FastJet,Kt,N2Plain,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,310.56,FastJet,Kt,N2Plain,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,474.79,FastJet,Kt,N2Plain,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,715.14,FastJet,Kt,N2Plain,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1004.25,FastJet,Kt,N2Plain,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1434.11,FastJet,Kt,N2Plain,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1610.48,FastJet,Kt,N2Plain,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,2023.75,FastJet,Kt,N2Plain,3.0
events-ee-Z.hepmc3.gz,43.05,16,19.68,FastJet,AntiKt,N2Plain,1.0
